They do to!,m
I hope so.,?
She okay?,m
Let's go.,?
Wow,m
Okay -- you're gonna need to learn how to lie.,?
No,m
"I'm kidding.  You know how sometimes you just become this ""persona""?  And you don't know how to quit?",?
Like my fear of wearing pastels?,?
"The ""real you"".",m
What good stuff?,?
I figured you'd get to the good stuff eventually.,m
Thank God!  If I had to hear one more story about your coiffure...,m
Me.  This endless ...blonde babble. I'm like_ boring myself.,?
What crap?,m
do you listen to this crap?,?
No...,m
"Then Guillermo says_ ""If you go any lighter_ you're gonna look like an extra on 90210.""",?
You always been this selfish?,m
But,?
Then that's all you had to say.,m
Well_ no...,?
You never wanted to go out with 'me_ did you?,m
I was?,?
"I looked for you back at the party_ but you always seemed to be ""occupied"".",m
Tons,?
Have fun tonight?,m
I believe we share an art instructor,m
You know Chastity?,?
Looks like things worked out tonight_ huh?,m
Hi.,?
Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.,?
So that's the kind of guy she likes? Pretty ones?,m
Lesbian?  No. I found a picture of Jared Leto in one of her drawers_ so I'm pretty sure she's not harboring same-sex tendencies.,?
She's not a...,m
I'm workin' on it. But she doesn't seem to be goin' for him.,m
I really_ really_ really wanna go_ but I can't.  Not unless my sister goes.,?
Sure have.,m
Eber's Deep Conditioner every two days. And I never_ ever use a blowdryer without the diffuser attachment.,?
How do you get your hair to look like that?,m
You're sweet.,?
You have my word.  As a gentleman,m
I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?,?
You got something on your mind?,m
Where?,?
There.,m
Well_ there's someone I think might be --,m
How is our little Find the Wench A Date plan progressing?,?
Forget French.,?
That's because it's such a nice one.,m
I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone.,?
Right.  See?  You're ready for the quiz.,m
C'esc ma tete. This is my head,?
Let me see what I can do.,m
Gosh_ if only we could find Kat a boyfriend...,?
That's a shame.,m
Unsolved mystery.  She used to be really popular when she started high school_ then it was just like she got sick of it or something.,?
Why?,m
Seems like she could get a date easy enough...,m
The thing is_ Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does.,?
Cameron.,m
No_ no_ it's my fault -- we didn't have a proper introduction ---,?
Forget it.,m
You're asking me out.  That's so cute. What's your name again?,?
Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?,m
Not the hacking and gagging and spitting part.  Please.,?
Well_ I thought we'd start with pronunciation_ if that's okay with you.,m
Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again.,?
I did.,?
You think you ' re the only sophomore at the prom?,?
I don't have to be home 'til two.,?
I have to be home in twenty minutes.,?
All I know is -- I'd give up my private line to go out with a guy like Joey.,?
Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with_ you know?,?
